Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0022038,-2.9147E-05,0.056907,0,0,0,0.6411,0.001273,1.7039E-06,-8.8623E-07,0.0019601,-2.5019E-07,0.0030778,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/base_link.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/base_link.STL,,Корпус Экопласт JBS210-2;Крышка Экопласт JBS210-1;motor medrano-body-2;motor medrano-body-1;jetson_top_cover-1;top_plate_spacer-3;top_plate_spacer-2;7 Segment Voltmeter with Casing-2;battery_top_cover-1;top_plate_cover-1;top_plate_spacer-1;top_plate_spacer-4;CasterWheel-2/CasterWheel.stp-1/CasterShaft.stp-1;CasterWheel-2/CasterWheel.stp-1/UpperCasterBody.stp-1;CasterWheel-3/CasterWheel.stp-1/CasterShaft.stp-1;CasterWheel-3/CasterWheel.stp-1/UpperCasterBody.stp-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lw_link,-2.7973E-12,9.3427E-13,-0.0051894,0,0,0,0.12994,0.00011932,-4.5971E-15,-6.5101E-15,0.00011932,-1.1924E-16,0.00021173,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/lw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/lw_link.STL,,100mm_wheel-2,lw_coordinate,left_motor_axis,lw_joint,continuous,0,0.11086,0.018076,-1.5708,0,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
rw_link,9.3424E-13,-2.7974E-12,0.0051894,0,0,0,0.12994,0.00011932,-4.5971E-15,1.186E-16,0.00011932,6.5098E-15,0.00021173,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rw_link.STL,,100mm_wheel-1,rw_coordinate,right_moto_axis,rw_joint,continuous,0,-0.11086,0.018076,-1.5708,0,0,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
fc_link,0.0045618,-0.0003535,-0.004413,0,0,0,0.0025913,2.3519E-07,-8.1922E-10,3.7218E-08,1.9941E-07,1.3893E-09,2.9106E-07,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/fc_link.STL,0.7451,0.73725,0.72941,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/fc_link.STL,,CasterWheel-2/CasterWheel.stp-1/MainCasterBody.stp-1;CasterWheel-2/CasterWheel.stp-1/WheelAxle.stp-1,fc_coordinate,front_castor_axis,fc_joint,continuous,0.071755,0,-0.0028894,0,0,0,base_link,0,0,1,10,10,,,,,,,,,,
fcw_link,0,-6.9389E-18,0,0,0,0,0.0038261,2.0561E-07,-5.0731E-25,-2.2457E-13,2.0561E-07,6.4224E-23,3.2679E-07,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/fcw_link.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/fcw_link.STL,,CasterWheel-2/CasterWheel.stp-1/CasterWheel1.stp-1,fcw_coordinate,fcw_axis,fcw_joint,continuous,0.012,0,-0.017111,-1.5708,0,0,fc_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
rc_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rc_link.STL,1,1,1,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rc_link.STL,,CasterWheel-3/CasterWheel.stp-1/MainCasterBody.stp-1;CasterWheel-3/CasterWheel.stp-1/WheelAxle.stp-1,rc_coordinate,rear_castor_axis,rc_joint,continuous,-0.071755,0,-0.0028894,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rcw_link,0,0,-5.2042E-18,0,0,0,0.0038261,2.0561E-07,-5.0732E-25,-2.2457E-13,2.0561E-07,5.0459E-23,3.2679E-07,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rcw_link.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://Swarmy_Bot_URDF/meshes/rcw_link.STL,,CasterWheel-3/CasterWheel.stp-1/CasterWheel1.stp-1,rcw_coordinate,rcw_axis,rcw_joint,continuous,0.012,0,-0.017111,-1.5708,0,0,rc_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
